Latitude,Longitude,state_id,state_name,county_name,population,density,Nearby Cities
41.15,-75.05,"PA, PA, PA, PA, PA","Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania","Pike, Pike, Pike, Pike, Pike",10757,1772.7,"Saw Creek, Pine Ridge, Birchwood Lakes, Pocono Ranch Lands, Pocono Mountain Lake Estates"
41.25,-75.05,"PA, PA, PA, PA, PA, PA, PA, PA, PA, PA","Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania","Pike, Pike, Pike, Pike, Pike, Pike, Pike, Pike, Pike, Pike",23298,3135.9,"Saw Creek, Hemlock Farms, Pocono Woodland Lakes, Pine Ridge, Gold Key Lake, Conashaugh Lakes, Birchwood Lakes, Pocono Ranch Lands, Sunrise Lake, Pocono Mountain Lake Estates"
41.35,-75.05,"PA, PA, PA, PA, PA, PA, PA","Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania","Pike, Pike, Pike, Pike, Pike, Pike, Wayne",15151,2565.5,"Hemlock Farms, Pocono Woodland Lakes, Gold Key Lake, Conashaugh Lakes, Birchwood Lakes, Sunrise Lake, Hawley"
41.45,-75.05,"PA, PA, PA, PA, PA, PA, PA, PA, NY, NY, NY","Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, New York, New York, New York","Pike, Pike, Pike, Pike, Wayne, Wayne, Pike, Pike, Sullivan, Sullivan, Sullivan",12996,2536.7,"Hemlock Farms, Gold Key Lake, Conashaugh Lakes, Sunrise Lake, Hawley, White Mills, Fawn Lake Forest, Masthope, Narrowsburg, Barryville, Eldred"
41.55,-75.05,"PA, PA, PA, PA, PA, NY, NY, NY, NY","Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, Pennsylvania, New York, New York, New York, New York","Wayne, Wayne, Wayne, Pike, Pike, Sullivan, Sullivan, Sullivan, Sullivan",8743,1925.2,"Honesdale, Hawley, White Mills, Fawn Lake Forest, Masthope, Narrowsburg, Barryville, Lake Huntington, Eldred"
41.65,-75.05,"PA, PA, NY, NY, NY, NY","Pennsylvania, Pennsylvania, New York, New York, New York, New York","Pike, Pike, Sullivan, Sullivan, Sullivan, Sullivan",2629,867.7,"Fawn Lake Forest, Masthope, Jeffersonville, Narrowsburg, Hortonville, Lake Huntington"
41.75,-75.05,"NY, NY, NY, NY, NY","New York, New York, New York, New York, New York","Sullivan, Sullivan, Sullivan, Sullivan, Sullivan",1498,760.1,"Jeffersonville, Narrowsburg, Hortonville, Lake Huntington, Hankins"
41.85,-75.05,"NY, NY, NY, NY","New York, New York, New York, New York","Sullivan, Sullivan, Sullivan, Sullivan",1291,766.9,"Roscoe, Jeffersonville, Hortonville, Hankins"
41.95,-75.05,"NY, NY, NY","New York, New York, New York","Sullivan, Delaware, Sullivan",890,240.2,"Roscoe, Downsville, Hankins"
42.05,-75.05,"NY, NY","New York, New York","Sullivan, Delaware",757,202.8,"Roscoe, Downsville"
